Article Number,Subject,Relation,Attributes
25,Health,has-CRPD-Text,"Provide persons with disabilities with the same range, quality and standard of free or affordable health care and programmes as provided to other persons, including in the area of sexual and reproductive health and population-based public health programmes; "
25,Health,has-Wikidata-definition,"state of physical, mental and social well-being in the absence of disease and infirmity"
25,Health,has-wikidata-definition-extension,Equal Standard of Care regardless of disability
,Rural Area,Mentioned-In-CRPD-Article,"Provide persons with disabilities with the same range, quality and standard of free or affordable health care and programmes as provided to other persons, including in the area of sexual and reproductive health and population-based public health programmes; "
25,Rural Area,has-Wikidata-definition,geographic area that is located outside towns and cities
,Preventative Measures,Mentioned-In-CRPD-Article,"Provide persons with disabilities with the same range, quality and standard of free or affordable health care and programmes as provided to other persons, including in the area of sexual and reproductive health and population-based public health programmes; "
25,Preventative Measures,has-CRPD-Text,"Provide those health services needed by persons with disabilities specifically because of their disabilities, including early identification and intervention as appropriate, and services designed to minimize and prevent further disabilities, including among children and older persons;"
25,Preventative Measures,has-wikidata-definition-extension,Provide early identification and intervention 
,Quality of Care,Mentioned-In-CRPD-Article,"Provide persons with disabilities with the same range, quality and standard of free or affordable health care and programmes as provided to other persons, including in the area of sexual and reproductive health and population-based public health programmes; "
25,Quality of Care,has-Wikidata-definition,summary measure of quality of services related to health or social care
,Human Rights,Mentioned-In-CRPD-Article,"Provide persons with disabilities with the same range, quality and standard of free or affordable health care and programmes as provided to other persons, including in the area of sexual and reproductive health and population-based public health programmes; "
25,Human Rights,has-Wikidata-definition,inalienable fundamental rights to which a person is inherently entitled
,Services,Mentioned-In-CRPD-Article,"Provide persons with disabilities with the same range, quality and standard of free or affordable health care and programmes as provided to other persons, including in the area of sexual and reproductive health and population-based public health programmes; "
,Discrimination,Mentioned-In-CRPD-Article,"Provide persons with disabilities with the same range, quality and standard of free or affordable health care and programmes as provided to other persons, including in the area of sexual and reproductive health and population-based public health programmes; "
25,Discrimination,has-Wikidata-definition,prejudicial treatment based on membership in a certain group
25,Discrimination,has-wikidata-definition-extension,"Prohibits to discriminate based on health insurance. No discrimination based on healthcare, foods and fluids. "
,Equality,Mentioned-In-CRPD-Article,"Provide persons with disabilities with the same range, quality and standard of free or affordable health care and programmes as provided to other persons, including in the area of sexual and reproductive health and population-based public health programmes; "
25,Equality,has-Wikidata-definition,prejudicial treatment based on membership in a certain group
25,Equality,has-wikidata-definition-extension,Equality of Standard of Care
,,,
24,Rehabilitation,,"States Parties shall take effective and appropriate measures, including
through peer support, to enable persons with disabilities to attain and maintain
maximum independence, full physical, mental, social and vocational ability,
and full inclusion and participation in all aspects of life. To that end, States
Parties shall organize, strengthen and extend comprehensive habilitation and
rehabilitation services and programmes, particularly in the areas of health,
employment, education and social services, in such a way that these services
and programmes:"
24,Rehabilitation,,"States Parties shall take effective and appropriate measures, including
through peer support, to enable persons with disabilities to attain and maintain
maximum independence, full physical, mental, social and vocational ability,
and full inclusion and participation in all aspects of life. To that end, States
Parties shall organize, strengthen and extend comprehensive habilitation and
rehabilitation services and programmes, particularly in the areas of health,
employment, education and social services, in such a way that these services
and programmes:
(a) Begin at the earliest possible stage, and are based on the
multidisciplinary assessment of individual needs and strengths;"
,,,
24,Rehabilitation,,"States Parties shall take effective and appropriate measures, including
through peer support, to enable persons with disabilities to attain and maintain
maximum independence, full physical, mental, social and vocational ability,
and full inclusion and participation in all aspects of life. To that end, States
Parties shall organize, strengthen and extend comprehensive habilitation and
rehabilitation services and programmes, particularly in the areas of health,
employment, education and social services, in such a way that these services
and programmes:
(a) Begin at the earliest possible stage, and are based on the
multidisciplinary assessment of individual needs and strengths;
(b) Support participation and inclusion in the community and all
aspects of society, are voluntary, and are available to persons with disabilities
as close as possible to their own communities, including in rural areas."
,,,
24,Rehabilitation,,"States Parties shall take effective and appropriate measures, including
through peer support, to enable persons with disabilities to attain and maintain
maximum independence, full physical, mental, social and vocational ability,
and full inclusion and participation in all aspects of life. To that end, States
Parties shall organize, strengthen and extend comprehensive habilitation and
rehabilitation services and programmes, particularly in the areas of health,
employment, education and social services, in such a way that these services
and programmes:
(a) Begin at the earliest possible stage, and are based on the
multidisciplinary assessment of individual needs and strengths;
(b) Support participation and inclusion in the community and all
aspects of society, are voluntary, and are available to persons with disabilities
as close as possible to their own communities, including in rural areas.

2. States Parties shall promote the development of initial and continuing
training for professionals and staff working in habilitation and rehabilitation
services."
,,,
